"","beekeeper","apiary","date","hive","mite_count","treatment","moved_to","month","year","latitude","longitude"
"1","BeeSmart","Verns",2020-02-24,"0.55555555555555558",3,NA,NA,"02","2020",-43.875429,171.823973
"2","BeeSmart","Verns",2020-02-24,"0.3888888888888889",0,NA,NA,"02","2020",-43.875429,171.823973
"3","BeeSmart","Verns",2020-02-24,"0.80347222222222225",0,NA,NA,"02","2020",-43.875429,171.823973
"4","BeeSmart","Verns",2020-02-24,"0.55347222222222225",4,NA,NA,"02","2020",-43.875429,171.823973
"5","BeeSmart","Verns",2020-02-24,"0.51388888888888895",2,NA,NA,"02","2020",-43.875429,171.823973
"6","BeeSmart","Verns",2020-02-24,"0.47222222222222227",0,NA,NA,"02","2020",-43.875429,171.823973
"7","BeeSmart","Verns",2020-02-24,"0.68055555555555547",4,NA,NA,"02","2020",-43.875429,171.823973
"8","BeeSmart","Verns",2020-02-24,"0.59722222222222221",20,NA,NA,"02","2020",-43.875429,171.823973
"9","BeeSmart","Verns",2020-02-24,"0.63888888888888895",1,NA,NA,"02","2020",-43.875429,171.823973
"10","BeeSmart","Verns",2020-02-24,"0.34722222222222227",1,NA,NA,"02","2020",-43.875429,171.823973
"11","BeeSmart","Verns",2020-02-24,"0.43055555555555558",1,NA,NA,"02","2020",-43.875429,171.823973
"12","BeeSmart","Verns",2020-02-24,"0.30555555555555552",0,NA,NA,"02","2020",-43.875429,171.823973
"13","BeeSmart","Verns",2020-04-09,"0.80347222222222225",7,NA,NA,"04","2020",-43.875429,171.823973
"14","BeeSmart","Verns",2020-04-09,"0.55347222222222225",47,NA,NA,"04","2020",-43.875429,171.823973
"15","BeeSmart","Verns",2020-04-09,"0.51388888888888895",6,NA,NA,"04","2020",-43.875429,171.823973
"16","BeeSmart","Verns",2020-04-09,"0.63888888888888895",8,NA,NA,"04","2020",-43.875429,171.823973
"17","BeeSmart","Verns",2020-04-09,"3.7624999999999997",21,NA,NA,"04","2020",-43.875429,171.823973
"18","BeeSmart","Verns",2020-04-09,"0.1388888888888889",0,NA,NA,"04","2020",-43.875429,171.823973
"19","BeeSmart","Verns",2020-04-09,"2.3041666666666667",0,NA,NA,"04","2020",-43.875429,171.823973
"20","BeeSmart","Verns",2020-07-13,"0.80347222222222225",5,NA,NA,"07","2020",-43.875429,171.823973
